Date;7.4;7.3;7.2;7.1;7.0;5.6;5.5;5.4;5.3;5.2;5.1;5.0;4.4;4.3
01/02/2019;;16;276;359;496;3070;351;1480;1557;987;1203;1;2657;4
02/02/2019;;15;279;365;497;3052;351;1486;1558;984;1188;1;2616;4
03/02/2019;;15;281;373;492;3048;351;1489;1556;977;1190;1;2605;4
04/02/2019;;15;282;375;490;3047;351;1482;1554;974;1190;1;2606;4
05/02/2019;;15;285;380;490;3047;352;1472;1557;970;1180;1;2603;4
06/02/2019;;16;284;381;490;3044;352;1476;1557;970;1179;1;2598;4
07/02/2019;;16;284;383;485;3045;351;1482;1551;969;1177;1;2601;4
08/02/2019;;17;291;382;481;3037;352;1484;1547;971;1169;1;2577;4
09/02/2019;;17;291;380;480;3032;351;1492;1545;969;1160;1;2563;4
10/02/2019;;17;293;381;479;3029;350;1507;1546;968;1161;1;2540;4
11/02/2019;;17;297;383;479;3018;351;1504;1543;960;1161;1;2536;4
12/02/2019;;17;296;383;482;3014;352;1482;1541;957;1166;1;2536;4
13/02/2019;;16;294;382;477;3014;351;1484;1542;957;1166;1;2546;4
14/02/2019;;16;295;383;476;3015;351;1478;1543;957;1171;1;2556;4
15/02/2019;;16;298;382;476;3013;348;1469;1540;959;1176;1;2566;4
16/02/2019;;16;301;382;476;3021;347;1455;1539;963;1187;1;2584;4
17/02/2019;;16;306;385;475;3020;347;1456;1538;964;1201;1;2585;4
18/02/2019;;16;307;388;477;3023;347;1459;1539;959;1197;1;2585;4
19/02/2019;;17;309;388;471;3021;341;1455;1540;957;1199;1;2591;4
20/02/2019;;18;307;388;470;3019;342;1452;1540;954;1196;1;2587;4
21/02/2019;;18;311;389;468;3014;340;1452;1540;952;1192;1;2585;4
22/02/2019;;18;314;388;469;3008;336;1448;1541;949;1191;1;2578;4
23/02/2019;;18;314;389;470;3006;336;1449;1544;951;1188;1;2579;4
24/02/2019;;18;316;391;470;3011;337;1449;1544;951;1177;1;2539;4
25/02/2019;;19;316;390;470;3009;338;1448;1542;950;1171;1;2529;4
26/02/2019;;20;319;388;471;3012;339;1449;1497;952;1166;1;2509;4
27/02/2019;;20;321;387;470;3008;341;1452;1448;953;1165;1;2503;4
28/02/2019;;20;322;389;467;3010;340;1445;1447;950;1172;1;2504;4
01/03/2019;;20;323;394;462;2993;335;1430;1428;942;1163;1;2483;4
02/03/2019;;21;332;401;452;2974;329;1413;1417;934;1162;1;2451;4
03/03/2019;;24;320;403;450;2948;328;1397;1393;926;1148;1;2416;4
04/03/2019;;22;302;403;440;2937;324;1390;1372;924;1146;1;2396;4
05/03/2019;;23;289;404;436;2948;324;1377;1352;921;1136;1;2372;4
06/03/2019;;22;281;402;433;2942;325;1374;1350;924;1140;1;2372;4
07/03/2019;;22;280;400;433;2940;322;1369;1350;928;1137;1;2364;4
08/03/2019;;22;280;403;432;2915;320;1362;1346;930;1135;1;2363;4
09/03/2019;;22;280;403;432;2896;322;1365;1347;928;1125;1;2358;4
10/03/2019;;22;282;402;430;2870;322;1364;1346;924;1114;1;2360;4
11/03/2019;;20;281;401;432;2867;322;1363;1342;921;1107;1;2352;4
13/03/2019;;19;286;393;428;2866;318;1361;1338;918;1095;1;2340;4
15/03/2019;;19;285;389;429;2857;319;1359;1332;915;1093;1;2331;4
18/03/2019;;23;293;378;429;2838;322;1347;1328;912;1072;1;2321;4
20/03/2019;;24;298;382;427;2834;319;1347;1329;910;1072;1;2314;4
22/03/2019;;25;298;385;418;2832;311;1346;1324;909;1070;1;2299;4
25/03/2019;;25;302;386;420;2839;313;1323;1323;906;1069;1;2303;4
27/03/2019;;26;305;385;420;2788;313;1302;1318;908;1056;1;2291;4
29/03/2019;;29;309;383;421;2785;317;1305;1313;904;1044;1;2283;4
