Date;Sites vérifiés;3.3-dev;3.2;3.1;3.0;2.1;2.0;1.9;1.8;<1.8;?
23/12/2018;25996;16;3964;4505;6892;5621;2472;1752;2;481;269
24/12/2018;25996;18;3968;4502;6889;5616;2473;1752;2;485;269
28/12/2018;25986;19;3999;4493;6867;5608;2473;1752;2;481;270
30/12/2018;25966;19;4007;4488;6852;5600;2475;1752;2;479;270
31/12/2018;25952;19;4010;4482;6848;5599;2475;1752;2;471;272
01/01/2019;25929;19;4018;4473;6834;5596;2472;1750;2;471;272
03/01/2019;25912;19;4024;4469;6819;5597;2468;1748;2;470;273
04/01/2019;25888;19;4025;4460;6811;5597;2463;1748;2;466;273
06/01/2019;25856;21;4022;4449;6806;5588;2461;1747;2;464;272
08/01/2019;25843;21;4033;4440;6793;5585;2462;1745;2;466;273
09/01/2019;25828;21;4035;4436;6789;5574;2469;1743;2;464;273
10/01/2019;20557;21;3958;4046;5357;3814;1542;1266;0;275;261
11/01/2019;20482;21;3939;4035;5331;3797;1545;1262;0;274;261
12/01/2019;20314;21;3903;3996;5276;3765;1542;1252;0;284;258
13/01/2019;20199;21;3879;3970;5228;3752;1540;1249;0;285;257
14/01/2019;20007;21;3811;3930;5175;3721;1539;1246;0;289;257
15/01/2019;19989;21;3813;3925;5163;3722;1535;1245;0;292;255
16/01/2019;19981;21;3819;3922;5155;3715;1537;1244;0;295;255
17/01/2019;19977;21;3824;3922;5155;3710;1537;1244;0;291;255
18/01/2019;19970;21;3827;3921;5158;3709;1535;1244;0;284;253
19/01/2019;19958;21;3834;3915;5147;3710;1533;1243;0;285;252
20/01/2019;19929;21;3834;3907;5131;3704;1534;1243;0;283;253
21/01/2019;19897;21;3837;3896;5117;3703;1528;1243;0;279;254
22/01/2019;19886;20;3837;3896;5109;3702;1525;1243;0;281;254
23/01/2019;18329;18;3430;3541;4660;3476;1488;1200;0;260;238
24/01/2019;18325;18;3435;3531;4654;3479;1487;1197;0;269;237
25/01/2019;18315;18;3442;3528;4640;3480;1484;1197;0;272;236
26/01/2019;18231;18;3439;3503;4597;3466;1484;1195;0;275;236
27/01/2019;18202;19;3446;3485;4590;3463;1482;1190;0;275;234
28/01/2019;18166;19;3446;3485;4571;3462;1476;1186;0;269;234
29/01/2019;18126;19;3452;3468;4552;3462;1472;1185;0;264;234
30/01/2019;18098;19;3454;3459;4545;3447;1482;1180;0;260;234
31/01/2019;18089;20;3457;3451;4546;3435;1487;1181;0;260;234
01/02/2019;18081;20;3459;3446;4543;3420;1493;1179;0;268;235
02/02/2019;18043;21;3455;3427;4537;3393;1505;1174;0;276;237
03/02/2019;18035;21;3453;3427;4524;3380;1512;1172;0;289;240
04/02/2019;18028;21;3450;3424;4517;3378;1512;1171;0;298;240
05/02/2019;18022;21;3448;3427;4508;3376;1513;1170;0;302;240
06/02/2019;18019;21;3454;3436;4503;3370;1515;1171;0;302;240
07/02/2019;18012;21;3453;3423;4495;3370;1514;1171;0;312;238
08/02/2019;18000;21;3458;3416;4493;3364;1507;1165;0;321;238
09/02/2019;17992;21;3465;3415;4488;3355;1511;1163;0;319;238
10/02/2019;17966;21;3468;3414;4486;3336;1507;1159;0;320;238
11/02/2019;17962;21;3476;3407;4481;3331;1511;1159;0;321;238
12/02/2019;17954;21;3477;3401;4488;3327;1510;1153;0;327;233
13/02/2019;17949;21;3475;3401;4479;3331;1505;1153;0;334;233
14/02/2019;17942;21;3479;3399;4478;3323;1507;1154;0;334;230
15/02/2019;17940;21;3480;3392;4476;3332;1500;1154;0;339;229
16/02/2019;17932;21;3485;3388;4466;3343;1486;1155;0;343;228
17/02/2019;17920;21;3491;3383;4457;3353;1472;1154;0;344;228
18/02/2019;17915;21;3492;3376;4456;3351;1475;1154;0;344;228
19/02/2019;17907;21;3496;3377;4449;3349;1470;1154;0;345;228
20/02/2019;17904;21;3507;3373;4442;3350;1464;1152;0;350;227
21/02/2019;17903;21;3512;3369;4437;3342;1470;1151;0;356;227
22/02/2019;17895;21;3508;3367;4429;3333;1474;1149;0;370;226
23/02/2019;17897;21;3510;3363;4429;3336;1474;1149;0;372;226
24/02/2019;17856;21;3502;3359;4420;3291;1480;1144;0;396;226
25/02/2019;17835;21;3506;3357;4415;3277;1474;1144;0;398;226
26/02/2019;17767;21;3504;3345;4394;3246;1472;1139;0;405;224
27/02/2019;17710;21;3493;3336;4375;3228;1472;1137;0;407;224
28/02/2019;17708;21;3496;3334;4368;3225;1473;1137;0;412;224
01/03/2019;17511;21;3469;3317;4349;3223;1444;1132;0;354;184
02/03/2019;17251;20;3439;3294;4327;3223;1404;1124;0;269;136
03/03/2019;16972;19;3359;3279;4283;3219;1360;1115;0;151;75
04/03/2019;16622;19;3324;3261;4250;3218;1322;1108;0;72;37
05/03/2019;16383;20;3276;3254;4240;3212;1271;1102;0;6;0
06/03/2019;16345;20;3273;3248;4227;3210;1264;1100;0;1;0
07/03/2019;16320;21;3283;3241;4211;3209;1255;1098;0;0;0
08/03/2019;16269;21;3274;3219;4199;3205;1251;1098;;;
09/03/2019;16252;21;3277;3215;4186;3200;1253;1098;;;
10/03/2019;16231;22;3283;3205;4178;3194;1251;1096;;;
11/03/2019;16193;22;3278;3197;4172;3189;1241;1092;;;
13/03/2019;16150;22;3284;3183;4154;3179;1238;1088;;;
15/03/2019;16093;22;3276;3170;4134;3169;1236;1084;;;
18/03/2019;15972;22;3250;3152;4096;3144;1233;1073;;;
20/03/2019;15944;22;3266;3144;4079;3143;1221;1067;;;
22/03/2019;15888;22;3267;3127;4065;3133;1211;1061;;;
25/03/2019;15842;22;3273;3118;4037;3128;1202;1060;;;
27/03/2019;15767;23;3279;3070;4024;3114;1199;1058;;;
29/03/2019;15729;23;3281;3064;4005;3106;1193;1055;;;
30/03/2019;15721;23;3289;3057;4002;3100;1193;1055;;;
31/03/2019;15696;22;3287;3054;3993;3091;1193;1054;;;
02/04/2019;15631;22;3291;3013;3975;3081;1191;1054;;;
03/04/2019;15617;22;3296;3004;3967;3080;1193;1053;;;
04/04/2019;15606;21;3301;3001;3961;3079;1189;1052;;;
05/04/2019;15588;22;3307;2994;3955;3066;1191;1052;;;
06/04/2019;15577;21;3313;2993;3950;3064;1183;1051;;;
07/04/2019;15546;21;3320;2986;3945;3061;1168;1043;;;
08/04/2019;15380;21;3325;2981;3935;3000;1109;1007;;;
09/04/2019;15367;21;3341;2977;3927;2990;1102;1007;;;
